User_ID,Session_ID,Event,Timestamp,Device,Region,Channel,Product_Category,Revenue,Bounce_Flag
USR00001,SES00001,Browse,2025-11-03 02:02-32,Tablet,South,Google Ads,Electronics,0.0,Yes
USR00001,SES00001,Add to Cart,2025-11-03 02:05-32,Desktop,West,Google Ads,Sports,0.0,Yes
USR00002,SES00002,Browse,2025-11-11 23:03-42,Mobile,South,Email,Electronics,0.0,Yes
USR00002,SES00002,Add to Cart,2025-11-11 23:06-42,Tablet,North,Email,Sports,0.0,Yes
USR00002,SES00002,Checkout,2025-11-11 23:11-42,Tablet,South,Google Ads,Fashion,0.0,Yes
USR00003,SES00003,Browse,2025-11-10 08:46-54,Tablet,West,Organic,Home,0.0,Yes
USR00003,SES00003,Add to Cart,2025-11-10 08:49-54,Desktop,East,Social Media,Home,0.0,Yes
USR00003,SES00003,Checkout,2025-11-10 08:54-54,Desktop,South,Social Media,Beauty,0.0,Yes
USR00004,SES00004,Browse,2025-11-02 07:55-48,Desktop,South,Organic,Electronics,0.0,Yes
USR00004,SES00004,Add to Cart,2025-11-02 07:59-48,Mobile,West,Google Ads,Electronics,0.0,Yes
USR00005,SES00005,Browse,2025-11-13 20:32-49,Tablet,East,Google Ads,Sports,0.0,Yes
USR00006,SES00006,Browse,2025-10-27 17:00-25,Desktop,South,Email,Beauty,0.0,Yes
USR00006,SES00006,Add to Cart,2025-10-27 17:02-25,Desktop,South,Social Media,Beauty,0.0,Yes
USR00006,SES00006,Checkout,2025-10-27 17:06-25,Desktop,West,Email,Beauty,0.0,Yes
USR00006,SES00006,Purchase,2025-10-27 17:08-25,Tablet,East,Social Media,Electronics,1319.39,No
USR00007,SES00007,Browse,2025-11-16 06:23-29,Tablet,West,Social Media,Electronics,0.0,Yes
USR00007,SES00007,Add to Cart,2025-11-16 06:28-29,Desktop,South,Organic,Beauty,0.0,Yes
USR00007,SES00007,Checkout,2025-11-16 06:30-29,Desktop,East,Organic,Electronics,0.0,Yes
